2025-06-30 10:18:43,203 - ATC_GUI - INFO - FALCON 시작
2025-06-30 10:18:43,327 - ATC_GUI - DEBUG - 지도 이미지 업데이트 완료: 925x720
2025-06-30 10:18:43,344 - ATC_GUI - INFO - 배경 이미지 설정 완료
2025-06-30 10:18:43,370 - ATC_GUI - INFO - 모든 로그 시그널 연결 완료
2025-06-30 10:18:43,372 - ATC_GUI - INFO - TCP 연결 시도 중...
2025-06-30 10:18:43,572 - ATC_GUI - INFO - TCP 연결 성공 (192.168.0.12:5100)
2025-06-30 10:19:04,777 - ATC_GUI - INFO - raw_data: b'MR_CA:OK\n'...
2025-06-30 10:19:04,777 - ATC_GUI - DEBUG - CCTV A 응답: OK
2025-06-30 10:19:04,778 - ATC_GUI - INFO - CCTV A 응답 수신: OK
2025-06-30 10:19:04,778 - ATC_GUI - INFO - UDP 연결 시도: 192.168.0.12:4100
2025-06-30 10:19:04,778 - ATC_GUI - DEBUG - 현재 소켓 상태: SocketState.UnconnectedState
2025-06-30 10:19:04,780 - ATC_GUI - INFO - UDP 소켓 바인드 성공: 포트 4100
2025-06-30 10:19:04,780 - ATC_GUI - INFO - UDP 클라이언트 연결 성공, 데이터 수신 대기 중...
2025-06-30 10:19:04,781 - ATC_GUI - DEBUG - 연결 후 소켓 상태: SocketState.BoundState
2025-06-30 10:19:04,781 - ATC_GUI - DEBUG - 소켓이 데이터 수신 대기 중: True
2025-06-30 10:19:04,835 - ATC_GUI - DEBUG - 프레임 수신: 카메라 A, 이미지 ID 1751246344519663767
2025-06-30 10:19:04,910 - ATC_GUI - DEBUG - 프레임 처리 완료: 카메라 A, 이미지 ID 1751246344519663767
2025-06-30 10:19:04,910 - ATC_GUI - DEBUG - 프레임 수신: 카메라 A, 이미지 ID 1751246344576479202
2025-06-30 10:19:04,946 - ATC_GUI - DEBUG - 프레임 처리 완료: 카메라 A, 이미지 ID 1751246344576479202
2025-06-30 10:19:04,947 - ATC_GUI - DEBUG - 프레임 수신: 카메라 A, 이미지 ID 1751246344593672951
2025-06-30 10:19:04,974 - ATC_GUI - DEBUG - 프레임 처리 완료: 카메라 A, 이미지 ID 1751246344593672951
2025-06-30 10:19:04,975 - ATC_GUI - DEBUG - 프레임 수신: 카메라 A, 이미지 ID 1751246344655385752
2025-06-30 10:19:05,002 - ATC_GUI - DEBUG - 프레임 처리 완료: 카메라 A, 이미지 ID 1751246344655385752
2025-06-30 10:19:05,002 - ATC_GUI - DEBUG - 프레임 수신: 카메라 A, 이미지 ID 1751246344705478693
